mirna	trusted
Mir-624	78.7
Mir-642	82.9
Mir-651	72.8
Mir-770	87.8
Mir-887	92.1
Mir-934	67.2
Mir-944	78.6
Mir-12316	68.1
Mir-12355	83.3
Mir-12358	92.1
Mir-12366	73.3
Mir-12380	81.2
Mir-12404	80
Mir-1540	83.6
Mir-1541	72.4
Mir-1542	87
Mir-1546	82.4
Mir-1547	87.3
Mir-1549	87.8
Mir-7246	79.6
Mir-7247	74
Mir-7251	79.8
Mir-7254	86.1
Mir-7262	69.3
Mir-7281	86.6
Mir-7284	77.5
Mir-7286	86.7
Mir-7292	88.9
Mir-7293	83.8
Mir-7303	60.9
Mir-7304	80.5
Mir-7309	85.2
Mir-7319	88.2
Mir-7323	86.1
Mir-7327	84.5
Mir-7332	89.8
Mir-7333	81.7
Mir-7336	87.7
Mir-7363	80.1
Mir-7368	81.5
Mir-7370	74.1
Mir-7371	42
Mir-7373	47.9
Mir-7376	89.6
Mir-7377	83.2
Mir-7378	82.7
Mir-7379	79.9
Mir-7383	72.9
Mir-7385	62.2
Mir-7392	78
Mir-7394	65.8
Mir-7397	82.1
Mir-7398	52.9
Mir-10651	95.8
Mir-1955	85.1
Mir-1962	64.8
Mir-298	87
Mir-3068	85.4
Mir-3072	84.4
Mir-3075	80.3
Mir-3099	79.9
Mir-3112	85.4
Mir-351	80.3
Mir-540	85.8
Mir-666	88.5
Mir-667	92.9
Mir-673	78.2
Mir-674	82.7
Mir-700	87.3
Mir-879	76.3
Mir-1327	89.1
Mir-1332	77.8
Mir-1338	92.5
Mir-1339	85.8
Mir-1340	79
Mir-1350	86.5
Mir-1355	84.4
Mir-1360	90.4
Mir-1361	91.4
Mir-1362	89.6
Mir-1363	90.3
Mir-1365	86.4
Mir-1374	92
Mir-1375	80.5
Mir-1376	79.6
Mir-1380	83.2
Mir-1381	90.4
Mir-1389	84.7
Mir-1390	84.2
Mir-1391	86
Mir-1395	87.1
Mir-1398	80
Mir-1400	84.9
Mir-1401	90.4
Mir-1405	84.9
Mir-1409	86.1
Mir-1419	69.1
Mir-1421	54.8
Mir-1422	49.6
Mir-7406	87.1
Mir-7414	76.4
Mir-7416	85.1
Mir-7419	83.4
Mir-7422	80.2
Mir-7423	84.3
Mir-7428	80.9
Mir-7432	84.9
Mir-7433	75.1
Mir-7435	82.6
Mir-2002	73.6
Mir-2004	77.7
Mir-2005	86.1
Mir-2006	63.1
Mir-2007	73.1
Mir-2008	79.6
Mir-2009	83.5
Mir-2010	79.6
Mir-2011	77.7
Mir-2012	73.7
Mir-4571	87.1
Mir-4818	54.9
Mir-4819	74.2
Mir-4820	66.4
Mir-4824	91.7
Mir-4825	88
Mir-4826	65.1
Mir-4828	61.3
Mir-4829	64.4
Mir-4830	62.6
Mir-4831	85.5
Mir-4834	82.2
Mir-4835	80.8
Mir-4838	79.1
Mir-4839	84.5
Mir-9650	79.6
