Culicidae	MIR-1891
Culicidae	MIR-2940
Cyclostomata	MIR-4542
Cyclostomata	MIR-4543
Cyclostomata	MIR-4544
Cyclostomata	MIR-4545
Daphnia	MIR-12603
Daphnia	MIR-12604
Daphnia	MIR-12606
Daphnia	MIR-12607
Daphnia	MIR-12608
Demospongiae	MIR-2014
Demospongiae	MIR-2015
Demospongiae	MIR-2017
Demospongiae	MIR-2018
Demospongiae	MIR-2020
Demospongiae	MIR-2021
Diapsida	MIR-1677
Diapsida	MIR-1720
Diapsida	MIR-7463
Diptera	MIR-957
Diptera	MIR-999
Drosophila	MIR-1003
Drosophila	MIR-1006
Drosophila	MIR-1010
Drosophila	MIR-314
Drosophila	MIR-955
Drosophila	MIR-960
Drosophila	MIR-962
Drosophila	MIR-963
Drosophila	MIR-964
Drosophila	MIR-969
Drosophila	MIR-973
Drosophila	MIR-974
Drosophila	MIR-975
Drosophila	MIR-976
Drosophila	MIR-977
Eleutherozoa	MIR-2002
Eleutherozoa	MIR-2004
Eleutherozoa	MIR-2005
Eleutherozoa	MIR-2010
Endopterygota	MIR-989
Enteropneusta	MIR-4818
Enteropneusta	MIR-4819
Enteropneusta	MIR-4820
Enteropneusta	MIR-4824
Enteropneusta	MIR-4825
Enteropneusta	MIR-4826
Enteropneusta	MIR-4828
Enteropneusta	MIR-4829
Enteropneusta	MIR-4830
Enteropneusta	MIR-4831
Enteropneusta	MIR-4835
Enteropneusta	MIR-4838
Enteropneusta	MIR-4839
Euarchontoglires	MIR-511
Eumetazoa	MIR-10
Eutheria	MIR-105
Eutheria	MIR-1247
Eutheria	MIR-1249
Eutheria	MIR-1264
Eutheria	MIR-127
Eutheria	MIR-1271
Eutheria	MIR-1277
Eutheria	MIR-1296
Eutheria	MIR-1298
Eutheria	MIR-1301
Eutheria	MIR-1307
Eutheria	MIR-134
Eutheria	MIR-1343
Eutheria	MIR-136
Eutheria	MIR-1379
Eutheria	MIR-149
Eutheria	MIR-151
Eutheria	MIR-154
Eutheria	MIR-1842
Eutheria	MIR-185
