mirna	trusted
Mir-9	63.9
Mir-4541	71.7
Mir-7147	67.4
Mir-71	71.1
Mir-725	53.1
Mir-726	66.8
Mir-727	83.8
Mir-105	60
Mir-1247	63.2
Mir-1249	76.4
Mir-1251	77.8
Mir-1271	79.7
Mir-1277	65.1
Mir-127	80.1
Mir-1296	86
Mir-1298	87.1
Mir-1301	63.1
Mir-1307	82.2
Mir-1343	70.7
Mir-134	70.5
Mir-136	74.5
Mir-1379	83.3
Mir-149	69.9
Mir-154	35
Mir-1842	79.1
Mir-185	70.8
Mir-186	76.8
Mir-188	58.6
Mir-1911	87.6
Mir-1912	70.2
Mir-197	74.4
Mir-2114	75.4
Mir-224	84.7
Mir-2355	90.9
Mir-2387	79
Mir-2483	68.4
Mir-28	44.6
Mir-296	70.5
Mir-3059	77.4
Mir-3085	74.3
Mir-320	77.3
Mir-324	79.1
Mir-325	62.5
Mir-326	70.6
Mir-328	56.1
Mir-330	92.2
Mir-331	79.7
Mir-335	67.9
Mir-339	69.1
Mir-340	70.2
Mir-342	84.2
Mir-345	77.8
Mir-346	80.7
Mir-350	75.6
Mir-3613	52.7
Mir-361	71.9
Mir-362	55.9
Mir-370	70.1
Mir-374	66.5
Mir-376	63.8
Mir-378	84.1
Mir-423	84.4
Mir-431	65.5
Mir-432	95.5
Mir-433	82.4
Mir-448	98.8
Mir-450	51.8
Mir-452	69.5
Mir-483	60.1
Mir-486	80.7
Mir-488	69.4
Mir-491	64.7
Mir-493	77.2
Mir-504	84.6
Mir-505	68.3
Mir-506	41.4
Mir-541	76.1
Mir-542	82.4
Mir-544	71.6
Mir-574	73.9
Mir-582	67
Mir-590	80.2
Mir-592	78.7
Mir-598	79.1
Mir-615	64.1
Mir-628	78.4
Mir-6529	70.3
Mir-652	77.1
Mir-653	67.5
Mir-670	74.8
Mir-6715	65.7
Mir-671	60.5
Mir-672	78.3
Mir-676	76.8
Mir-7180	65.5
Mir-744	97.2
Mir-760	79
Mir-769	75.9
Mir-873	77.4
Mir-874	75
Mir-876	67.5
Mir-877	91.4
Mir-885	71.8
Mir-935	86.4
Mir-95	52.5
Mir-9851	74.8
Mir-2056	81.4
Mir-2057	71.3
Mir-2058	80.7
Mir-2061	73.6
Mir-2062	75.7
Mir-2068	72.7
Mir-2070	88.6
Mir-2071	91.1
Mir-2072	75.6
Mir-2076	69.9
Mir-242	61.6
Mir-278	56.6
Mir-4857	87.4
Mir-4859	87.1
Mir-4860	86.7
Mir-4861	73.2
Mir-4862	83.7
Mir-4863	74.7
Mir-4864	56.3
Mir-4865	83.2
Mir-4866	76.7
Mir-4869	94
Mir-4871	81.3
Mir-4872	55.5
Mir-4873	78.5
Mir-4874	86.7
Mir-4876	77
Mir-4879	83.3
Mir-4880	79.9
Mir-4886	82.5
Mir-4887	65.7
Mir-4888	64.9
Mir-4891	69.7
Mir-76	79.3
Mir-384	82.8
Mir-675	68.4
Mir-337	74.2
Mir-511	84.5
Mir-872	77.2
Mir-1451	65.4
Mir-1467	95.7
Mir-1552	78.3
Mir-1559	78.6
Mir-1729	70.9
Mir-1781	67.4
Mir-2131	95.8
Mir-2954	90
Mir-2984	95.7
Mir-9619	62.2
Mir-7132	70.9
Mir-7133	72.5
Mir-723	67.8
Mir-724	82.6
Mir-728	77.6
Mir-729	86.5
Mir-734	70
Mir-4542	80.4
Mir-4543	85.6
Mir-4544	87.8
Mir-4545	76.5
Mir-315	78.4
Mir-8160	72.1
Mir-1180	79.8
Mir-1323	77.7
Mir-3140	84.3
Mir-3145	72.8
Mir-3146	82.4
Mir-3173	75.5
Mir-3200	90.7
Mir-3617	84.2
Mir-3934	77.6
Mir-4524	71.6
Mir-4677	83.9
Mir-4766	72.1
Mir-498	73.9
Mir-550	83.9
Mir-576	82.9
Mir-577	77.6
Mir-579	80.9
Mir-584	87.8
Mir-589	71.1
Mir-605	78.8
Mir-624	78.7
Mir-642	82.9
Mir-651	72.8
Mir-770	89.7
Mir-887	92.1
Mir-934	67.2
Mir-944	78.6
Mir-12316	68.1
Mir-12355	83.3
Mir-12358	93.4
Mir-12366	73.3
