A. suum	MIR-5360
A. suum	MIR-5361
A. suum	MIR-5363
A. suum	MIR-5364
Chromadorea	MIR-54
Chromadorea	MIR-77
Chromadorea	MIR-791
Chromadorea	MIR-86
Branchiostoma	BRA-NOVEL-1
Branchiostoma	BRA-NOVEL-2
Branchiostoma	BRA-NOVEL-3
Branchiostoma	BRA-NOVEL-4
Branchiostoma	BRA-NOVEL-5
Branchiostoma	BRA-NOVEL-6
Branchiostoma	MIR-2056
Branchiostoma	MIR-2057
Branchiostoma	MIR-2058
Branchiostoma	MIR-2061
Branchiostoma	MIR-2062
Branchiostoma	MIR-2068
Branchiostoma	MIR-2070
Branchiostoma	MIR-2071
Branchiostoma	MIR-2072
Branchiostoma	MIR-2076
Branchiostoma	MIR-4857
Branchiostoma	MIR-4859
Branchiostoma	MIR-4860
Branchiostoma	MIR-4861
Branchiostoma	MIR-4862
Branchiostoma	MIR-4863
Branchiostoma	MIR-4864
Branchiostoma	MIR-4865
Branchiostoma	MIR-4866
Branchiostoma	MIR-4868
Branchiostoma	MIR-4869
Branchiostoma	MIR-4871
Branchiostoma	MIR-4872
Branchiostoma	MIR-4873
Branchiostoma	MIR-4874
Branchiostoma	MIR-4876
Branchiostoma	MIR-4879
Branchiostoma	MIR-4880
Branchiostoma	MIR-4886
Branchiostoma	MIR-4887
Branchiostoma	MIR-4888
Branchiostoma	MIR-4891
Branchiostoma	MIR-4900
B. floridae	MIR-4881
B. germanica	BGE-NOVEL-1
B. germanica	BGE-NOVEL-10
B. germanica	BGE-NOVEL-11
B. germanica	BGE-NOVEL-12
B. germanica	BGE-NOVEL-13
B. germanica	BGE-NOVEL-14
B. germanica	BGE-NOVEL-15
B. germanica	BGE-NOVEL-17
B. germanica	BGE-NOVEL-18
B. germanica	BGE-NOVEL-19
B. germanica	BGE-NOVEL-2
B. germanica	BGE-NOVEL-20
B. germanica	BGE-NOVEL-21
B. germanica	BGE-NOVEL-22
B. germanica	BGE-NOVEL-23
B. germanica	BGE-NOVEL-24
B. germanica	BGE-NOVEL-25
B. germanica	BGE-NOVEL-26
B. germanica	BGE-NOVEL-3
B. germanica	BGE-NOVEL-4
B. germanica	BGE-NOVEL-5
B. germanica	BGE-NOVEL-6
B. germanica	BGE-NOVEL-7
B. germanica	BGE-NOVEL-8
B. germanica	BGE-NOVEL-9
B. germanica	MIR-3770
B. germanica	MIR-6012
B. lanceolatum	BLA-NOVEL-10
B. lanceolatum	BLA-NOVEL-11
B. lanceolatum	BLA-NOVEL-12
B. lanceolatum	BLA-NOVEL-7
B. lanceolatum	BLA-NOVEL-8
B. lanceolatum	BLA-NOVEL-9
Eutheria	MIR-105
Eutheria	MIR-1247
Eutheria	MIR-1249
Eutheria	MIR-127
Eutheria	MIR-1271
Eutheria	MIR-1277
Eutheria	MIR-1296
Eutheria	MIR-1298
Eutheria	MIR-1301
Eutheria	MIR-134
Eutheria	MIR-1343
Eutheria	MIR-136
Eutheria	MIR-1379
Eutheria	MIR-149
Eutheria	MIR-154
Eutheria	MIR-1842
Eutheria	MIR-185
Eutheria	MIR-188
Eutheria	MIR-1911
Eutheria	MIR-1912
Eutheria	MIR-197
Eutheria	MIR-2114
Eutheria	MIR-224
Eutheria	MIR-2355
Eutheria	MIR-2483
Eutheria	MIR-28
Eutheria	MIR-296
Eutheria	MIR-3059
Eutheria	MIR-3085
Eutheria	MIR-320
Eutheria	MIR-324
Eutheria	MIR-326
Eutheria	MIR-328
Eutheria	MIR-330
Eutheria	MIR-331
Eutheria	MIR-335
Eutheria	MIR-337
Eutheria	MIR-339
Eutheria	MIR-342
Eutheria	MIR-345
Eutheria	MIR-346
Eutheria	MIR-350
Eutheria	MIR-361
Eutheria	MIR-362
Eutheria	MIR-374
Eutheria	MIR-376
Eutheria	MIR-378
Eutheria	MIR-384
Eutheria	MIR-423
Eutheria	MIR-431
Eutheria	MIR-432
Eutheria	MIR-433
Eutheria	MIR-448
Eutheria	MIR-450
Eutheria	MIR-452
Eutheria	MIR-486
Eutheria	MIR-488
Eutheria	MIR-491
Eutheria	MIR-493
Eutheria	MIR-504
Eutheria	MIR-505
Eutheria	MIR-506
Eutheria	MIR-541
Eutheria	MIR-542
Eutheria	MIR-544
Eutheria	MIR-574
Eutheria	MIR-582
Eutheria	MIR-592
Eutheria	MIR-598
Eutheria	MIR-615
Eutheria	MIR-628
Eutheria	MIR-652
Eutheria	MIR-6529
Eutheria	MIR-653
Eutheria	MIR-670
Eutheria	MIR-6715
Eutheria	MIR-672
Eutheria	MIR-676
Eutheria	MIR-7180
Eutheria	MIR-744
Eutheria	MIR-760
Eutheria	MIR-769
Eutheria	MIR-874
Eutheria	MIR-876
Eutheria	MIR-877
Eutheria	MIR-885
Eutheria	MIR-935
Eutheria	MIR-95
Eutheria	MIR-9851
B. taurus	BTA-NOVEL-1
B. taurus	BTA-NOVEL-2
B. taurus	MIR-10182
B. taurus	MIR-11968
B. taurus	MIR-11989
B. taurus	MIR-11995
B. taurus	MIR-2285
B. taurus	MIR-2299
B. taurus	MIR-2313
B. taurus	MIR-2320
B. taurus	MIR-2328
B. taurus	MIR-2330
B. taurus	MIR-2331
B. taurus	MIR-2336
B. taurus	MIR-2367
B. taurus	MIR-2373
B. taurus	MIR-2382
B. taurus	MIR-2388
B. taurus	MIR-2408
B. taurus	MIR-2461
B. taurus	MIR-2468
B. taurus	MIR-2471
B. taurus	MIR-2475
B. taurus	MIR-3431
B. taurus	MIR-3432
B. taurus	MIR-3660
B. taurus	MIR-3956
B. taurus	MIR-3957
B. taurus	MIR-6119
B. taurus	MIR-6525
B. taurus	MIR-7858
B. taurus	MIR-7859
B. taurus	MIR-7861
B. taurus	MIR-7862
Mammalia	MIR-186
Mammalia	MIR-590
Mammalia	MIR-873
Theria	MIR-1251
Theria	MIR-325
Theria	MIR-340
Theria	MIR-3613
Theria	MIR-483
Theria	MIR-671
Theria	MIR-675
Boreoeutheria	MIR-2387
Boreoeutheria	MIR-370
C. briggsae	CBR-NOVEL-1
C. briggsae	CBR-NOVEL-2
C. briggsae	CBR-NOVEL-3
C. briggsae	CBR-NOVEL-4
C. briggsae	CBR-NOVEL-5
C. briggsae	CBR-NOVEL-6
C. briggsae	MIR-2222
C. briggsae	MIR-2231
C. briggsae	MIR-7579
C. briggsae	MIR-7580
C. briggsae	MIR-7583
C. briggsae	MIR-7584
C. briggsae	MIR-7585
C. briggsae	MIR-7586
C. briggsae	MIR-7587
C. briggsae	MIR-7588
C. briggsae	MIR-7589
C. briggsae	MIR-7590
C. briggsae	MIR-7591
C. briggsae	MIR-7593
C. briggsae	MIR-7594
C. briggsae	MIR-7595
C. briggsae	MIR-7596
Caenorhabditis	LSY-6
Caenorhabditis	MIR-1817
Caenorhabditis	MIR-230
Caenorhabditis	MIR-231
Caenorhabditis	MIR-238
Caenorhabditis	MIR-246
Caenorhabditis	MIR-248
Caenorhabditis	MIR-249
Caenorhabditis	MIR-253
Caenorhabditis	MIR-254
Caenorhabditis	MIR-255
Caenorhabditis	MIR-355
Caenorhabditis	MIR-357
Caenorhabditis	MIR-358
Caenorhabditis	MIR-392
Caenorhabditis	MIR-4813
Caenorhabditis	MIR-52
Caenorhabditis	MIR-62
Caenorhabditis	MIR-65
Caenorhabditis	MIR-70
Caenorhabditis	MIR-73
Caenorhabditis	MIR-784
Caenorhabditis	MIR-785
Caenorhabditis	MIR-787
Caenorhabditis	MIR-788
Caenorhabditis	MIR-789
Caenorhabditis	MIR-85
Caenorhabditis	MIR-90
C. elegans	MIR-1819
C. elegans	MIR-1821
C. elegans	MIR-1823
C. elegans	MIR-1829
C. elegans	MIR-1830
C. elegans	MIR-1832
C. elegans	MIR-2208
C. elegans	MIR-2210
C. elegans	MIR-2218
C. elegans	MIR-2221
C. elegans	MIR-229
C. elegans	MIR-243
